"","Index","Angle","Antenna","Background","Code","GPSdate","GPStime","Strength","TowerID","TagID","AnimalID","uniqueID","longitude","latitude","X","Y","BadPoint","Var_X","Var_Y","Cov_XY","AngleDiff","Date","Time"
"90",0,246,2,0,"0.25,0.21,0.16","01_06_23","8:20:03",31,"TowerW13",476,"WF051806","WF051806-01_06_23-8",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"91",0,246,2,0,"0.25,0.21,0.16","01_06_23","8:21:16",32,"TowerW13",476,"WF051806","WF051806-01_06_23-8",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"92",0,246,2,0,"0.25,0.21,0.16","01_06_23","8:34:16",31,"TowerW13",476,"WF051806","WF051806-01_06_23-8",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"93",0,246,2,0,"0.25,0.21,0.16","01_06_23","8:43:40",33,"TowerW13",476,"WF051806","WF051806-01_06_23-8",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"94",0,246,2,0,"0.25,0.21,0.16","01_06_23","8:44:59",32,"TowerW13",476,"WF051806","WF051806-01_06_23-8",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"95",0,246,2,0,"0.25,0.21,0.16","01_06_23","8:49:29",31,"TowerW13",476,"WF051806","WF051806-01_06_23-8",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"96",0,246,2,0,"0.25,0.21,0.16","01_06_23","9:00:26",32,"TowerW13",476,"WF051806","WF051806-01_06_23-9",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"97",0,246,2,0,"0.25,0.21,0.16","01_06_23","9:44:37",32,"TowerW13",476,"WF051806","WF051806-01_06_23-9",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"98",0,246,2,0,"0.25,0.21,0.16","01_06_23","10:11:37",32,"TowerW13",476,"WF051806","WF051806-01_06_23-10",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"99",0,246,2,0,"0.25,0.21,0.16","01_06_23","10:14:09",32,"TowerW13",476,"WF051806","WF051806-01_06_23-10",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"100",0,246,2,0,"0.25,0.21,0.16","01_06_23","10:15:00",31,"TowerW13",476,"WF051806","WF051806-01_06_23-10",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"101",0,246,2,0,"0.25,0.21,0.16","01_06_23","11:03:39",32,"TowerW13",476,"WF051806","WF051806-01_06_23-11",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"102",0,246,2,0,"0.25,0.21,0.16","01_06_23","11:54:24",31,"TowerW13",476,"WF051806","WF051806-01_06_23-11",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"103",0,246,2,0,"0.25,0.21,0.16","01_06_23","12:58:30",31,"TowerW13",476,"WF051806","WF051806-01_06_23-12",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"104",0,246,2,0,"0.25,0.21,0.16","01_06_23","13:05:19",31,"TowerW13",476,"WF051806","WF051806-01_06_23-13",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"105",0,246,2,0,"0.25,0.21,0.16","01_06_23","13:08:43",32,"TowerW13",476,"WF051806","WF051806-01_06_23-13",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"106",0,246,2,0,"0.25,0.21,0.16","01_06_23","13:23:13",31,"TowerW13",476,"WF051806","WF051806-01_06_23-13",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"107",0,246,2,0,"0.25,0.21,0.16","01_06_23","13:47:25",31,"TowerW13",476,"WF051806","WF051806-01_06_23-13",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"108",0,246,2,0,"0.25,0.21,0.16","01_06_23","14:24:31",32,"TowerW13",476,"WF051806","WF051806-01_06_23-14",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"109",0,246,2,0,"0.25,0.21,0.16","01_06_23","16:12:55",32,"TowerW13",476,"WF051806","WF051806-01_06_23-16",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"110",0,246,2,0,"0.25,0.21,0.16","01_06_23","16:43:49",31,"TowerW13",476,"WF051806","WF051806-01_06_23-16",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"111",0,246,2,0,"0.25,0.21,0.16","01_06_23","16:47:12",31,"TowerW13",476,"WF051806","WF051806-01_06_23-16",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"112",0,246,2,0,"0.25,0.21,0.16","01_06_23","17:14:35",32,"TowerW13",476,"WF051806","WF051806-01_06_23-17",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"113",0,246,2,0,"0.25,0.21,0.16","01_06_23","17:22:23",32,"TowerW13",476,"WF051806","WF051806-01_06_23-17",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"114",0,246,2,0,"0.25,0.21,0.16","01_06_23","17:35:24",32,"TowerW13",476,"WF051806","WF051806-01_06_23-17",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
